****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 219: loglikelihood = -176236.81345688435, backtracks = 1, tol = 0.0006088031192550915
Iteration 220: loglikelihood = -176234.91831841448, backtracks = 1, tol = 0.0006076418730981424
Iteration 221: loglikelihood = -176233.02948491575, backtracks = 1, tol = 0.0006064836739624427
Iteration 222: loglikelihood = -176231.14693461583, backtracks = 1, tol = 0.0006053285114499487
Iteration 223: loglikelihood = -176229.27064582187, backtracks = 1, tol = 0.0006041763752011912
Iteration 224: loglikelihood = -176227.40059692232, backtracks = 1, tol = 0.0006030272548961183
Iteration 225: loglikelihood = -176225.53676638159, backtracks = 1, tol = 0.0006018811402544865
Iteration 226: loglikelihood = -176223.67913274548, backtracks = 1, tol = 0.0006007380210362293
Iteration 227: loglikelihood = -176221.82767463796, backtracks = 1, tol = 0.0005995978870417481
Iteration 228: loglikelihood = -176219.98237075837, backtracks = 1, tol = 0.0005984607281122047
Iteration 229: loglikelihood = -176218.1431998865, backtracks = 1, tol = 0.0005973265341298343
Iteration 230: loglikelihood = -176216.3101408765, backtracks = 1, tol = 0.0005961952950179741
Iteration 231: loglikelihood = -176214.4831726626, backtracks = 1, tol = 0.0005950670007414
Iteration 232: loglikelihood = -176212.66227425088, backtracks = 1, tol = 0.0005939416413062016
Iteration 233: loglikelihood = -176210.84742472612, backtracks = 1, tol = 0.0005928192067600326
Iteration 234: loglikelihood = -176209.03860324784, backtracks = 1, tol = 0.0005916996871920204
Iteration 235: loglikelihood = -176207.23578905087, backtracks = 1, tol = 0.000590583072732974
Iteration 236: loglikelihood = -176205.4389614434, backtracks = 1, tol = 0.000589469353555109
Iteration 237: loglikelihood = -176203.64809980989, backtracks = 1, tol = 0.0005883585198722787
Iteration 238: loglikelihood = -176201.86318360706, backtracks = 1, tol = 0.0005872505619396135
Iteration 239: loglikelihood = -176200.0841923661, backtracks = 1, tol = 0.0005861454700539088
Iteration 240: loglikelihood = -176198.3111056923, backtracks = 1, tol = 0.000585043234553002
Iteration 241: loglikelihood = -176196.5439032619, backtracks = 1, tol = 0.0005839438458161408
Iteration 242: loglikelihood = -176194.78256482334, backtracks = 1, tol = 0.0005828472942636051
Iteration 243: loglikelihood = -176193.02707020094, backtracks = 1, tol = 0.0005817535703566156
Iteration 244: loglikelihood = -176191.27739928605, backtracks = 1, tol = 0.0005806626645973536
Iteration 245: loglikelihood = -176189.53353204502, backtracks = 1, tol = 0.000579574567528675
Iteration 246: loglikelihood = -176174.865522519, backtracks = 1, tol = 0.003270142839186106
Iteration 247: loglikelihood = -176166.85315747658, backtracks = 1, tol = 0.002007013180374221
Iteration 248: loglikelihood = -176163.2190472568, backtracks = 1, tol = 0.0010661528479233389
Iteration 249: loglikelihood = -176160.83843653847, backtracks = 1, tol = 0.0006315056592414199
Iteration 250: loglikelihood = -176158.81503065056, backtracks = 1, tol = 0.0006317582979561312
Iteration 251: loglikelihood = -176156.89556506864, backtracks = 1, tol = 0.000630922961737216
Iteration 252: loglikelihood = -176155.00943313143, backtracks = 1, tol = 0.0006303382943415601
Iteration 253: loglikelihood = -176153.13722408726, backtracks = 1, tol = 0.000629104262627612
Iteration 254: loglikelihood = -176151.2736920144, backtracks = 1, tol = 0.0006280089802331383
Iteration 255: loglikelihood = -176149.41744486394, backtracks = 1, tol = 0.0006266906294743567
Iteration 256: loglikelihood = -176147.5681110035, backtracks = 1, tol = 0.0006254450819660829
Iteration 257: loglikelihood = -176145.7255779649, backtracks = 1, tol = 0.0006241262974312633
Iteration 258: loglikelihood = -176143.88979479007, backtracks = 1, tol = 0.0006228454284527586
Iteration 259: loglikelihood = -176142.06072449475, backtracks = 1, tol = 0.0006215434447719323
Iteration 260: loglikelihood = -176140.2383337926, backtracks = 1, tol = 0.0006202619879718843
Iteration 261: loglikelihood = -176138.42259147536, backtracks = 1, tol = 0.000618977109134687
Iteration 262: loglikelihood = -176136.61346811018, backtracks = 1, tol = 0.0006177042872930553
Iteration 263: loglikelihood = -176134.8109358577, backtracks = 1, tol = 0.0006164337261774517
Iteration 264: loglikelihood = -176133.01496815094, backtracks = 1, tol = 0.0006151710868531171
Iteration 265: loglikelihood = -176131.22553938752, backtracks = 1, tol = 0.0006139123020458065
Iteration 266: loglikelihood = -176129.44262463885, backtracks = 1, tol = 0.00061265937613376
Iteration 267: loglikelihood = -176127.6661994359, backtracks = 1, tol = 0.0006114105788499391
Iteration 268: loglikelihood = -176125.89623960492, backtracks = 1, tol = 0.0006101665731122479
Iteration 269: loglikelihood = -176124.13272116182, backtracks = 1, tol = 0.0006089265950385612
Iteration 270: loglikelihood = -176122.37562023936, backtracks = 1, tol = 0.0006076908294883296
Iteration 271: loglikelihood = -176120.6249130479, backtracks = 1, tol = 0.0006064589208348562
Iteration 272: loglikelihood = -176118.88057584895, backtracks = 1, tol = 0.0006052308930662547
